category007;1204;product2766;719
category007;1204;product2765;529
category007;1204;product2764;686
category007;1204;product2763;592
category007;1204;product2762;708
category007;1204;product2761;647
category007;1204;product2759;730
category007;1204;product2756;481
category007;1204;product2755;421
category007;1204;product2754;695
category007;1204;product2753;594
category007;1204;product2752;655
category007;1204;product2749;733
category007;1204;product2748;628
category007;1204;product2747;722
category007;1204;product2746;538
category007;1204;product2743;456
category007;1204;product2740;754
category007;1204;product2737;547
category007;1204;product2733;564
category007;1204;product2732;679
category007;1204;product2730;718
category007;1204;product2727;688
category007;1204;product2724;581
category007;1204;product2721;468
category007;1204;product2720;598
category007;1204;product2718;693
category007;1204;product2717;528
category007;1204;product2714;498
category007;1204;product2712;600
category007;1204;product2709;695
category007;1204;product2708;797
category007;1204;product2707;784
category007;1204;product2706;748
category007;1204;product2700;763
category007;1204;product2698;754
category007;1204;product2697;730
category007;1204;product2695;615
category007;1204;product2690;670
category007;1204;product2689;618
category007;1204;product2688;453
category007;1204;product2687;610
category007;1204;product2686;502
category007;1204;product2685;518
category007;1204;product2684;477
category007;1204;product2683;593
category007;1204;product2682;649
category007;1204;product2681;405
category007;1204;product2679;455
category007;1204;product2677;703
category007;1204;product2676;522
category007;1204;product2675;747
category007;1204;product2674;652
category007;1204;product2673;411
category007;1204;product2670;433
category007;1204;product2669;766
category007;1204;product2667;722
category007;1204;product2666;516
category007;1204;product2664;451
category007;1204;product2663;604
category007;1204;product2661;553
category007;1204;product2660;403
category007;1204;product2655;442
category007;1204;product2654;616
category007;1204;product2653;455
category007;1204;product2652;531
category007;1204;product2651;666
category007;1204;product2646;716
category007;1204;product2645;785
category007;1204;product2644;796
category007;1204;product2641;500
category007;1204;product2640;406
category007;1204;product2639;686
category007;1204;product2638;784
category007;1204;product2637;471
category007;1204;product2636;595
category007;1204;product2635;707
category007;1204;product2634;435
category007;1204;product2630;634
category007;1204;product2628;592
category007;1204;product2626;604
category007;1204;product2625;607
category007;1204;product2623;573
category007;1204;product2618;749
category007;1204;product2616;467
category007;1204;product2615;751
category007;1204;product2614;541
category007;1204;product2613;745
category007;1204;product2611;780
category007;1204;product2610;441
category007;1204;product2607;555
category007;1204;product2605;447
category007;1204;product2604;782
category007;1204;product2602;497
category007;1204;product2601;499
category007;1204;product2597;765
category007;1204;product2593;424
category007;1204;product2592;631
category007;1204;product2589;469
category007;1204;product2588;488
category007;1204;product2586;647
category007;1204;product2585;669
category007;1204;product2579;403
category007;1204;product2578;552
category007;1204;product2577;795
category007;1204;product2574;558
category007;1204;product2572;662
category007;1204;product2568;774
category007;1204;product2567;705
category007;1204;product2563;742
category007;1204;product2562;676
category007;1204;product2560;799
category007;1204;product2559;606
category007;1204;product2558;406
category007;1204;product2556;721
category007;1204;product2553;681
category007;1204;product2552;511
category007;1204;product2547;591
category007;1204;product2542;542
category007;1204;product2541;635
category007;1204;product2540;464
category007;1204;product2538;674
category007;1204;product2537;776
category007;1204;product2536;405
category007;1204;product2535;687
category007;1204;product2533;497
category007;1204;product2532;490
category007;1204;product2527;521
category007;1204;product2526;543
